titel;auteur;rij;kolom;locatie;stapel;positie_op_stapel;timestamp
Hier is een lijst van de boeken, zoals aangevraagd:;N/A;1;A;1A;voor;1;2025-07-15T18:43:50.710Z
Esoterische psychologie;Margarete Friebe;1;A;1A;voor;2;2025-07-15T18:43:50.710Z
Het grote Alpha-trainingboek;N/A;1;A;1A;voor;3;2025-07-15T18:43:50.710Z
De wetenschap der ZELFREALISATIE;Sri Srimad A.C. Bhaktivedanta Swami Prabhupada;1;A;1A;voor;4;2025-07-15T18:43:50.710Z
INZICHT IN verkeer met gene zijde;N/A;1;A;1A;voor;5;2025-07-15T18:43:50.710Z
CONCENTRATIE EN MEDITATIE;Humphreys;1;A;1A;voor;6;2025-07-15T18:43:50.710Z
VITAAL MET VITAMINEN;A. Vogel serie Gezond en Wel;1;A;1A;voor;7;2025-07-15T18:43:50.710Z
Levenskracht;Keyes;1;A;1A;voor;8;2025-07-15T18:43:50.710Z
Het Hite-rapport;Shere Hite;1;A;1A;voor;9;2025-07-15T18:43:50.710Z
Signalen van je lichaam;Willem Aaldering;1;A;1A;voor;10;2025-07-15T18:43:50.710Z
HET GROOT KLUSSENBOEK;N/A;1;A;1A;voor;11;2025-07-15T18:43:50.710Z
